key,value,unit,description,basis
temperature_F,70,degF,Service water temperature,User
rho_w,997.99,kg/m3,Water density at stated temperature,IAPWS approximation; pressure effects omitted
mu_w,0.000979,Pa s,Water dynamic viscosity,IAPWS approximation
mdot_n,0.14,lb/s,Nominal mass flow,User
mdot_s,0.47,lb/s,Surge mass flow,User
p_meop,650,psi,Housing operating pressure difference,User: internal minus external
p_proof,1300,psi,Housing proof pressure difference,User
p_burst,2600,psi,Housing burst pressure difference,User
dp_clean_limit,5,psi,Clean pressure-drop limit,User
dp_loaded_limit,18,psi,Loaded pressure-drop limit,User; nominal flow basis
dirt_mass,0.318,g,Retained dry dirt mass,User; contaminant unspecified
mass_limit,1,lb,Maximum dry hardware mass,User
rating,5,um,Filtration rating target,User; test definition pending
efficiency,99.9,percent,Capture efficiency target,User
efficiency_size,3,um,Efficiency particle size,User
active_d,58,mm,Frame opening / exposed screen diameter,Design
frame_d,70,mm,Frame and mesh outside diameter,Design
frame_raw_t,0.2,mm,Uncoined sheet thickness,Design
frame_assembled_t,0.17,mm,Nominal coined frame envelope,Unvalidated manufacturing assumption
coarse_t,0.48,mm,Each coarse envelope thickness,Calender target; raw catalog 0.508 mm
fine_t,0.18,mm,Dutch-twill envelope thickness,Placeholder; NOT supplier-confirmed Dutch twill
body_d,76,mm,Housing outside diameter,Simplified design
pocket_d,70.4,mm,Single frame seat outer diameter,Design
outer_shoulder_z,6,mm,Outer cone start from weld plane,Design
inner_shoulder_z,8,mm,Inner cone start from weld plane,Design
stub_start_z,36,mm,Cone end / straight stub start,Design
half_length,58,mm,Housing half length,Design
stub_od,19.05,mm,Integral weld stub outside diameter,Design; compatible titanium lines
stub_id,15.75,mm,Flow bore diameter,Design
Cv_f,60000000.0,1/m,Fine Dutch-twill viscous resistance,Assumed; fit finished cloth data
Ci_f,3000,1,Fine Dutch-twill inertial resistance,Assumed; not transferred supplier data
Cv_c,200000.0,1/m,Combined coarse viscous resistance,Assumed
Ci_c,40,1,Combined coarse inertial resistance,Assumed
K_body,3,1,Combined housing loss coefficient,Assumed; changed housing not flow-validated
alpha_c,1000000000.0,m/kg,Specific cake resistance,Sensitivity input; contaminant uncharacterized
rho_ti,4510,kg/m3,CP titanium Grade 2 density,TIMET
rho_ss,8000,kg/m3,Stainless frame density,Engineering nominal
Sy,275,MPa,Ti Grade 2 minimum yield screening value,TIMET / ATI; stock certificate required
Su,345,MPa,Ti Grade 2 minimum tensile screening value,ATI
coarse_areal_mass,1.367,kg/m2,Each coarse cloth areal mass,TWP 0.280 lb/ft2 rounded
fine_areal_mass,0.95,kg/m2,Dutch-twill areal mass,Placeholder; NOT supplier-confirmed Dutch twill
growth_factor,1.2,1,Dry mass development reserve multiplier,Design assumption
